"","order_entered","site","date","tide","investigator","recorded_fish_id","id","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","genus","species","group","common_name","diversity","taxa","zone_trophic","zone","count","empty","notes","entered","checked","site_code","fish_id","month","season","sex","tl_mm","sl_mm","lifestage"
"11",190,"Percos",2020-07-26,NA,"Madden",184,"Excirolana chiltoni","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","chiltoni","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",2,"No",NA,"JM 1/28/2021","JM 2/16/2021",1,"1_2020-07-26_184",7,"Summer","Male",182,146,"Adult"
"12",140,"Percos",2020-10-16,NA,"Madden",300,"Excirolana chiltoni","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","chiltoni","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",8,"No",NA,"JM 1/28/2021","JM 2/16/2021",1,"1_2020-10-16_300",10,"Fall","Male",262,207,"Adult"
"13",157,"Percos",2020-10-16,NA,"Madden",311,"Excirolana chiltoni","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","chiltoni","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",6,"No",NA,"JM 1/28/2021","JM 2/16/2021",1,"1_2020-10-16_311",10,"Fall","Male",243,187,"Adult"
"14",154,"Percos",2020-10-16,NA,"Madden",312,"Excirolana chiltoni","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","chiltoni","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No","partial","JM 1/28/2021","JM 2/16/2021",1,"1_2020-10-16_312",10,"Fall","Male",245,193,"Adult"
"15",189,"Percos",2020-07-26,NA,"Madden",184,"Excirolana linguifrons","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","linguifrons","Isopod","Isopod","Excirolana linguifrons","Intertidal isopod","Other beach","Beach",2,"No",NA,"JM 1/28/2021","JM 2/16/2021",1,"1_2020-07-26_184",7,"Summer","Male",182,146,"Adult"
"16",218,"R Beach",2020-10-09,NA,"Madden",210,"Excirolana linguifrons","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","linguifrons","Isopod","Isopod","Excirolana linguifrons","Intertidal isopod","Other beach","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",3,"3_2020-10-09_210",10,"Fall","Male",232,182,"Adult"
"17",362,"Percos",2019-09-04,NA,"Beresford",68,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",2,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_68",9,"Fall","Female",110,88,"Juvenile"
"18",370,"Percos",2019-09-04,NA,"Beresford",74,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_74",9,"Fall","Male",249,196,"Adult"
"19",382,"Percos",2019-09-04,NA,"Beresford",77,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_77",9,"Fall","Female",257,200,"Adult"
"20",388,"Percos",2019-09-04,NA,"Beresford",79,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",10,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_79",9,"Fall","Female",207,162,"Adult"
"21",400,"Refugio",2019-09-05,NA,"Beresford",53,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_53",9,"Fall","Male",119,93,"Juvenile"
"22",407,"Refugio",2019-09-05,NA,"Beresford",56,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_56",9,"Fall","Juvenile",96,75,"Juvenile"
"23",231,"Refugio",2020-07-10,NA,"Madden",127,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",2,"2_2020-07-10_127",7,"Summer","Male",188,148,"Adult"
"24",10,"R Beach",2020-07-14,"Neap","Madden",133,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_133",7,"Summer","Female",104,81,"Juvenile"
"25",124,"R Beach",2020-07-20,"Spring","Madden",176,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No","pleotelson missing","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_176",7,"Summer","Female",115,90,"Juvenile"
"26",203,"Percos",2020-07-26,NA,"Madden",204,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",1,"1_2020-07-26_204",7,"Summer","Male",193,149,"Adult"
"27",173,"Percos",2020-10-16,NA,"Madden",309,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",12,"No","2 chiltoni, most very digested","JM 1/28/2021","JM 2/16/2021",1,"1_2020-10-16_309",10,"Fall","Male",195,154,"Adult"
"28",346,"Percos",2019-07-23,NA,"Beresford",47,"Gnorimosphaeroma nobeli","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Sphaeromatidea","NA","Sphaeromatoidea","Sphaeromatidae","Gnorimosphaeroma","noblei","Isopod","Isopod","Gnorimosphaeroma","Intertidal isopod","Other beach","Beach",1,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_47",7,"Summer","Juvenile",95,75,"Juvenile"
"29",156,"Percos",2020-10-16,NA,"Madden",311,"Isopod","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","NA","NA","NA","NA","NA","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",1,"1_2020-10-16_311",10,"Fall","Male",243,187,"Adult"
"30",294,"Refugio",2019-06-26,NA,"Beresford",19,"Excirolana spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","NA","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",2,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_19",6,"Summer",NA,79,62,"Juvenile"
"31",1,"R Beach",2020-07-14,"Neap","Madden",129,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",2,"No","1 intact, 1 broken","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_129",7,"Summer","Female",171,134,"Adult"
"32",13,"R Beach",2020-07-14,"Neap","Madden",136,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",19,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_136",7,"Summer","Female",276,218,"Adult"
"33",15,"R Beach",2020-07-14,"Neap","Madden",137,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_137",7,"Summer","Male",220,173,"Adult"
"34",44,"R Beach",2020-07-20,"Spring","Madden",152,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",13,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_152",7,"Summer","Female",231,184,"Adult"
"35",54,"R Beach",2020-07-20,"Spring","Madden",156,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",28,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_156",7,"Summer","Male",250,197,"Adult"
"36",58,"R Beach",2020-07-20,"Spring","Madden",157,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",7,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_157",7,"Summer","Female",236,189,"Adult"
"37",77,"R Beach",2020-07-20,"Spring","Beresford",162,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",2,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_162",7,"Summer","Female",164,127,"Juvenile"
"38",83,"R Beach",2020-07-20,"Spring","Madden",163,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",10,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_163",7,"Summer","Female",270,214,"Adult"
"39",88,"R Beach",2020-07-20,"Spring","Madden",164,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",3,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_164",7,"Summer","Male",162,126,"Juvenile"
"40",92,"R Beach",2020-07-20,"Spring","Beresford",165,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_165",7,"Summer","Male",175,137,"Adult"
"41",95,"R Beach",2020-07-20,"Spring","Beresford",166,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",9,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_166",7,"Summer","Female",240,190,"Adult"
"42",98,"R Beach",2020-07-20,"Spring","Beresford",167,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No","broken","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_167",7,"Summer","Female",160,125,"Juvenile"
"43",109,"R Beach",2020-07-20,"Spring","Beresford",170,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",2,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_170",7,"Summer","Female",161,126,"Juvenile"
"44",114,"R Beach",2020-07-20,"Spring","Beresford",173,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",12,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_173",7,"Summer","Female",245,195,"Adult"
"45",118,"R Beach",2020-07-20,"Spring","Beresford",174,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",6,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_174",7,"Summer","Male",239,187,"Adult"
"46",121,"R Beach",2020-07-20,"Spring","Beresford",175,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_175",7,"Summer","Male",166,130,"Adult"
"47",210,"R Beach",2020-10-09,NA,"Madden",208,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",4,"No","4 hinges","JM 1/28/2021","JM 2/16/2021",3,"3_2020-10-09_208",10,"Fall","Male",270,214,"Adult"
"48",205,"R Beach",2020-10-09,NA,"Madden",209,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",3,"3_2020-10-09_209",10,"Fall","Male",276,219,"Adult"
"49",216,"R Beach",2020-10-09,NA,"Madden",210,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",3,"3_2020-10-09_210",10,"Fall","Male",232,182,"Adult"
"50",213,"R Beach",2020-10-09,NA,"Madden",218,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",3,"3_2020-10-09_218",10,"Fall","Female",256,202,"Adult"
"51",214,"R Beach",2020-10-09,NA,"Madden",232,"Donax gouldii","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Cardiida","NA","NA","Tellinoidea","Donacidae","Donax","gouldii","Bivalve","Bean clam","Donax","Bean clam","Beach suspension feeder","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",3,"3_2020-10-09_232",10,"Fall","Male",241,192,"Adult"
"52",33,"R Beach",2020-07-14,"Neap","Madden",150,"Clam shell","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","NA","NA","NA","NA","NA","NA","NA","Bivalve","Bivalve","Donax","Bivalve","Beach suspension feeder","Beach",1,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_150",7,"Summer","Juvenile",75,59,"Juvenile"
"53",45,"R Beach",2020-07-20,"Spring","Madden",152,"Tivela stultorum","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Venerida","NA","NA","Veneroidea","Veneridae","Tivela","stultorum","Bivalve","Pismo clam","Tivela","Pismo clam","Beach suspension feeder","Beach",5,"No","counted hinges, white, smoother than donax","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_152",7,"Summer","Female",231,184,"Adult"
"54",57,"R Beach",2020-07-20,"Spring","Madden",156,"Tivela stultorum","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Venerida","NA","NA","Veneroidea","Veneridae","Tivela","stultorum","Bivalve","Pismo clam","Tivela","Pismo clam","Beach suspension feeder","Beach",6,"No","counted hinges; ID based on smooth, shiny shell","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_156",7,"Summer","Male",250,197,"Adult"
"55",59,"R Beach",2020-07-20,"Spring","Madden",157,"Tivela stultorum","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Venerida","NA","NA","Veneroidea","Veneridae","Tivela","stultorum","Bivalve","Pismo clam","Tivela","Pismo clam","Beach suspension feeder","Beach",2,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_157",7,"Summer","Female",236,189,"Adult"
"56",86,"R Beach",2020-07-20,"Spring","Madden",163,"Tivela stultorum","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Venerida","NA","NA","Veneroidea","Veneridae","Tivela","stultorum","Bivalve","Pismo clam","Tivela","Pismo clam","Beach suspension feeder","Beach",3,"No","counted hinges","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_163",7,"Summer","Female",270,214,"Adult"
"57",91,"R Beach",2020-07-20,"Spring","Madden",164,"Tivela stultorum","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Venerida","NA","NA","Veneroidea","Veneridae","Tivela","stultorum","Bivalve","Pismo clam","Tivela","Pismo clam","Beach suspension feeder","Beach",2,"No","small shell fragments of 2 different clams","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_164",7,"Summer","Male",162,126,"Juvenile"
"58",96,"R Beach",2020-07-20,"Spring","Beresford",166,"Tivela stultorum","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Venerida","NA","NA","Veneroidea","Veneridae","Tivela","stultorum","Bivalve","Pismo clam","Tivela","Pismo clam","Beach suspension feeder","Beach",2,"No","smoother/less ridges than donax","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_166",7,"Summer","Female",240,190,"Adult"
"59",116,"R Beach",2020-07-20,"Spring","Beresford",173,"Tivela stultorum","Mollusca","NA","Bivalvia","Autobranchia","Imparidentia","Venerida","NA","NA","Veneroidea","Veneridae","Tivela","stultorum","Bivalve","Pismo clam","Tivela","Pismo clam","Beach suspension feeder","Beach",1,"No","white, smooth","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_173",7,"Summer","Female",245,195,"Adult"
"60",287,"Refugio",2019-06-26,NA,"Beresford",16,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_16",6,"Summer",NA,84,66,"Juvenile"
"61",289,"Refugio",2019-06-26,NA,"Beresford",18,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_18",6,"Summer",NA,69,54,"Juvenile"
"62",292,"Refugio",2019-06-26,NA,"Beresford",19,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_19",6,"Summer",NA,79,62,"Juvenile"
"63",296,"Refugio",2019-06-26,NA,"Beresford",20,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_20",6,"Summer",NA,70,56,"Juvenile"
"64",298,"Refugio",2019-06-26,NA,"Beresford",21,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",123,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_21",6,"Summer",NA,295,239,"Adult"
